	item	desc	domain	meaning	example_1	example_2	example_3	example_4
0	NARSA	n	Entities and Existence	thing, object	Bu narsa nima?	What is this (thing)?		
1	NARSA	bir narsa	Entities and Existence	some thing				
2	NARSA	har narsa	Entities and Existence	everything				
3	NARSA	hech narsa	Entities and Existence	nothing				
4	BUYUM	n	Entities and Existence	thing(s), articles (for use), goods	Keng iste'mol buyumlari yetishmaydi.	Consumer goods are in short supply.	Mening buyumlarim qani?	Where are my things?
6	ISH	n	Entities and Existence	matter, affair, business, thing | work, job, task	Ishingizni qiling!	Mind your own business!	Ishning ichida ish bor.	There is something behind this.
7	ISH	NX+ning ~+i	Entities and Existence	X's affair, business, job	Bu mening ishim.	That's my affair.		
8	GAP	n	Entities and Existence	matter, affair (to talk about)				
14	BO'L-	v.int	Entities and Existence	be, come into being, happen	Bugun bo'ron qattiq bo'ldi.	There was a terrible storm today.	Nima bo'ldi?	What's the matter?
17	BO'L-	v.int | NX/AX ~	Entities and Existence	become X, get X				
20	BOR	adj	Entities and Existence	existent, present	O'qishning nima ahamiyati bor?	What is the use of learning?		
22	BOR	adj | NY+da NX ~	Entities and Existence	(Y) have X (with it)				
25	YO'Q	adj	Entities and Existence	non-existent, absent	Sodiqov darsda yo'q.	Sadikov is absent from the class.	Uyda yo'q edim.	I was not at home.
30	MAVJUD	adj	Entities and Existence	existing, available	Mavjud kuchlardan to'la va unumli foydalanish kerak.	Complete and profitable use of the available forces must be made.		
34	PAYDO	paydo bo'l-	Entities and Existence	appear	Eski uylar o'rinda yangilari paydo bo'ldi.	New houses have appeared in place of the old.		
36	ko'rin-	v.int	Entities and Existence	be visible, appear, emerge				
37	ko'rin-	yuz ber-	Entities and Existence	happen	Ikkinchi dunyo urushidan keyin ko'pgina milliy davlatlar yuz berdi.	Many national governments appeared after the second World War.		
44	YO'QOL-	v.int	Entities and Existence	disappear, get lost	Kitobim yo'qoldi.	My book has disappeared.	Yo'qol!	Get out!
48	o'chir-	v.t	Entities and Existence	cause to vanish, erase				
54	ketkaz-	v.t	Entities and Existence	remove	Ayol ko'ylagidagi dog'ni ketkazdi.	The woman removed a stain from her dress.		
55	HODISA	n	Entities and Existence	event, incident, happening	Nima hodisa bo'ldi?	What happened?		
58	halokat	n	Entities and Existence	accident, disaster, wreck				
61	VOQEA	n	Entities and Existence	event, incident	Bo'lib o'tgan voqealar meni rohatsiz qildi.	Past events have disturbed me.		
64	TASODIF	n	Entities and Existence	chance, fate				
